РЕНТАБЕЛЬНАЯ ДОБЫЧА,43101,43466,43831,44197,44562,44927,45292,45658,46023,46388,46753,47119,47484,47849,48214,48580,48945,49310,49675,50041,50406,50771,51136,51502,51867,52232,52597,52963,53328,53693,54058,54424,54789,55154,55519,55885,56250,56615,56980,57346,57711,58076,58441,58807,59172,59537,59902,60268,60633,60998,61363,61729,62094,62459,62824
LIQ,1208.7530249608062,3477.4374125482755,4584.578249263726,5044.768284204878,5510.354023707521,5886.495250296784,6184.4093436732,6390.117790172824,6592.150892071963,6768.723029891685,6941.155948287208,6011.325959194982,4203.9421621746105,3729.201113328447,3722.6383223798857,3633.1033639077336,3666.909921844438,3727.005880687008,3780.840980065892,3825.5509573392264,3864.005734944103,3901.860792757073,3928.57865905543,3961.1806235006597,4003.864503571451,4040.105398794921,4072.4819858417195,4095.543823015416,4129.776745970418,4131.10783236314,4165.483123935375,4180.7661805776015,4194.885457368769,4118.209655658523,4111.853799741527,3440.249334360705,2297.7774182203752,1073.4478146492213,681.9742234594928,471.112982897676,332.73795444517754,250.08487162276495,221.12903445591488,184.46086568173433,133.473052606571,48.9052786576931,28.056303154769058,0,0,0,0,0,0,0,0
OIL,475.53769447941954,1110.8542222332721,1231.1455278292635,1100.4608560220095,945.5663113726649,825.4479496946997,737.394798812922,665.9984720012507,606.5059969595911,553.8055085172134,508.1375116417057,447.819636743988,382.0786418068601,347.0017288345753,324.4200971911697,301.1240657814577,282.5292642853148,265.45609613157484,249.50006138982215,233.89581707378312,219.28987944483526,205.7068103258735,192.88505881112079,180.84999816021497,170.1663576881522,159.9918016362367,150.279581757153,140.8987393163209,132.5522032548911,124.0948428304985,116.90758154705108,109.70223961678742,102.8493158712193,94.94935472655774,88.81025628654695,71.25739477434297,46.69039920262737,22.56809981514066,14.403141797184386,9.834786456991868,6.912065631728389,5.121743326342462,4.383257958884859,3.502166489261895,2.468463621716066,0.9125898328609675,0.5075729039468878,0,0,0,0,0,0,0,0
INJ,1329.6283274568868,3825.181153803104,5043.0360741900995,5549.245112625365,6061.3894260782745,6475.144775326464,6802.850278040521,7029.129569190106,7251.36598127916,7445.595332880855,7635.2715431159295,6612.45855511448,4624.336378392071,4102.12122466129,4094.9021546178747,3996.4137002985076,4033.600914028882,4099.7064687557095,4158.9250780724815,4208.10605307315,4250.406308438514,4292.046872032781,4321.436524960973,4357.2986858507265,4404.250953928597,4444.115938674413,4479.730184425892,4505.098205316958,4542.754420567461,4544.218615599455,4582.031436328913,4598.842798635363,4614.374003105645,4530.030621224375,4523.03917971568,3784.274267796776,2527.5551600424133,1180.7925961141439,750.1716458054422,518.2242811874437,366.0117498896953,275.09335878504146,243.2419379015064,202.90695224990776,146.82035786722813,53.79580652346242,30.861933470245965,0,0,0,0,0,0,0,0
GAS,72.18233456807161,169.7878100529126,189.98150198516828,169.44063578553147,145.27785205287014,126.7166646100848,113.14669755622342,102.17092380119205,93.04436997075561,84.9728133525234,77.9851972784405,68.80477584259562,58.883886756479484,53.53632834093948,50.05978580136913,46.48219900794126,43.61515407629285,40.98003254253983,38.4892466285623,36.08554488609569,33.75291621095923,31.62531037447284,29.582480019770873,27.74024042561978,26.104858443437717,24.54763345770011,23.053308010908705,21.617534073507144,20.340066533519046,19.032303717534,17.933485786351334,16.831141174014462,15.783150795111604,14.576353201229086,13.637885395847361,10.962412224560673,7.213074444380199,3.5419125801756093,2.2861822465720394,1.5770201825373626,1.1294694991692142,0.8542583068126988,0.7392905393444527,0.5872051277269745,0.4083989836514226,0.13871365459486706,0.07715108139992695,0,0,0,0,0,0,0,0
SDF,16.753424657534246,47.21095890410959,59.31003817651022,54.41509094992139,49.2,46.82739726027397,45.061441724679995,44.93870050153455,44.084931506849315,44,44.06120967138259,43.72249419866756,43,43,41.46343289168351,35.54216632981511,24.432876712328767,17.734246575342464,13.99572572797365,9.07282730743319,8.068493150684931,6.742465753424657,5.009708810539712,4.6341567482596,3.345205479452055,1.5726027397260274,0.989041095890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drilledWells,33,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wellCost,4047.2976772696124,3369.9365082367735,1654.5318211452764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infrCost,811.0805999999998,639.0331999999999,245.78199999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onssCost,165,130,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
